user_id,movie_id,rating,timestamp
1,tt2172954,4,2024-02-15
1,tt0311113,5,2024-02-15
1,tt12908150,2,2024-02-15
1,tt0088170,2,2024-02-15
1,tt14513804,1,2024-02-15
2,tt0119567,1,2024-02-15
2,tt31036941,3,2024-02-15
2,tt3778644,1,2024-02-15
2,tt0044121,2,2024-02-15
2,tt0088170,3,2024-02-15
3,tt0480242,4,2024-02-15
3,tt5442430,5,2024-02-15
3,tt5113040,4,2024-02-15
3,tt2709768,5,2024-02-15
3,tt2172954,4,2024-02-15
4,tt0118799,1,2024-02-15
4,tt0092007,1,2024-02-15
4,tt0816711,5,2024-02-15
4,tt4827558,5,2024-02-15
4,tt3748528,3,2024-02-15
5,tt0816711,1,2024-02-15
5,tt0446029,5,2024-02-15
5,tt0325703,3,2024-02-15
5,tt0369610,5,2024-02-15
5,tt0079945,3,2024-02-15
6,tt0092007,5,2024-02-15
6,tt1408101,5,2024-02-15
6,tt8041270,1,2024-02-15
6,tt0796366,1,2024-02-15
6,tt3748528,4,2024-02-15
7,tt4881806,3,2024-02-15
7,tt31036941,5,2024-02-15
7,tt0088170,1,2024-02-15
7,tt0044121,3,2024-02-15
7,tt4827558,5,2024-02-15
8,tt0796366,2,2024-02-15
8,tt12908150,1,2024-02-15
8,tt0456912,1,2024-02-15
8,tt0044121,3,2024-02-15
8,tt0311113,4,2024-02-15
9,tt0119567,5,2024-02-15
9,tt4827558,5,2024-02-15
9,tt14513804,3,2024-02-15
9,tt2709768,3,2024-02-15
9,tt1981115,5,2024-02-15
10,tt0119535,4,2024-02-15
10,tt0084726,1,2024-02-15
10,tt0079945,3,2024-02-15
10,tt0079470,4,2024-02-15
10,tt0359950,2,2024-02-15
11,tt5619332,2,2024-02-15
11,tt1408101,5,2024-02-15
11,tt0044121,5,2024-02-15
11,tt0079470,2,2024-02-15
11,tt4881806,5,2024-02-15
12,tt1981115,5,2024-02-15
12,tt5113040,2,2024-02-15
12,tt2262227,5,2024-02-15
12,tt0119535,5,2024-02-15
12,tt1462769,4,2024-02-15
13,tt0092007,4,2024-02-15
13,tt1981115,3,2024-02-15
13,tt1462769,3,2024-02-15
13,tt0369610,4,2024-02-15
13,tt0118799,4,2024-02-15
14,tt2709768,4,2024-02-15
14,tt2660888,5,2024-02-15
14,tt1408101,5,2024-02-15
14,tt1502397,5,2024-02-15
14,tt0088170,2,2024-02-15
15,tt0143145,4,2024-02-15
15,tt0816711,5,2024-02-15
15,tt1408101,4,2024-02-15
15,tt2709768,5,2024-02-15
15,tt0456912,1,2024-02-15
16,tt0325703,1,2024-02-15
16,tt2488496,3,2024-02-15
16,tt8041270,4,2024-02-15
16,tt0359950,4,2024-02-15
16,tt0085959,4,2024-02-15
17,tt3778644,1,2024-02-15
17,tt0118799,2,2024-02-15
17,tt0311113,2,2024-02-15
17,tt14513804,5,2024-02-15
17,tt0362270,4,2024-02-15
18,tt0311113,5,2024-02-15
18,tt12908150,5,2024-02-15
18,tt4827558,1,2024-02-15
18,tt0119535,2,2024-02-15
18,tt0325703,1,2024-02-15
19,tt0143145,2,2024-02-15
19,tt1408101,5,2024-02-15
19,tt0088170,3,2024-02-15
19,tt31036941,2,2024-02-15
19,tt0092007,1,2024-02-15
20,tt1462769,2,2024-02-15
20,tt14513804,3,2024-02-15
20,tt5619332,1,2024-02-15
20,tt1408101,4,2024-02-15
20,tt2488496,5,2024-02-15
